,Game Title,Weekly Sales,All Time Sales,Weeks Out
3804,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3805,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3806,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3807,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3808,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3809,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3810,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3811,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3812,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3813,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3814,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3815,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3816,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3817,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3818,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3819,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3820,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3821,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3822,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3823,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3824,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3825,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3826,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3827,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3828,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3829,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3830,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3831,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3832,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3833,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3834,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3835,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3836,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3837,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3838,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3839,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3840,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3841,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3842,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3843,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3844,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3845,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3846,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3847,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3848,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3849,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3850,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3851,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3852,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3853,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3854,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3855,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3856,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3857,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3858,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3859,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3860,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3861,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3862,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3863,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3864,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3865,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3866,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3867,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3868,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3869,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3870,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3871,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3872,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3873,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3874,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3875,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3876,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3877,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3878,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3879,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3880,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3881,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3882,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3883,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3884,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3885,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3886,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3887,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3888,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3889,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3890,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3891,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3892,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3893,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3894,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3895,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3896,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3897,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3898,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3899,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3900,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3901,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3902,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3903,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3904,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3905,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3906,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3907,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3908,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3909,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3910,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3911,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3912,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3913,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3914,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3915,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3916,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3917,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3918,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3919,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3920,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3921,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3922,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3923,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3924,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3925,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3926,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3927,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3928,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3929,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3930,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3931,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3932,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3933,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3934,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3935,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3936,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3937,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3938,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3939,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3940,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3941,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3942,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3943,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3944,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3945,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3946,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3947,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3948,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3949,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3950,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3951,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3952,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3953,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3954,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3955,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3956,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3957,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3958,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3959,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3960,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3961,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3962,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3963,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3964,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3965,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3966,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
